County,Poverty %,Poverty % (U18),MedHHInc,MedHHInc_log,PopDen_log,PopDen,Firearms %,Firearms_adj,Homicide_log,Homicide_adj
"Abbeville County, SC",14.8,21.2,49485,10.80942487233079,2.9638496266557963,19.37240492,0.8431372549019608,1.5713560071478427,-0.21821871692794687,0.8039495850523847
"Acadia Parish, LA",20.6,28.7,44648,10.706564792468269,3.6074622761011623,36.87236211,0.6260869565217392,1.0521362750284222,0.05082264492646765,1.0521362750284222
"Accomack County, VA",16.2,25.7,50949,10.83858041137288,3.337048761747667,28.13596811,0.5636363636363636,0.857678016605753,0.1736863892608083,1.1896824101305608
"Ada County, ID",8.7,9.1,79345,11.281560711996942,5.098081526689148,163.7075373,0.5688073394495413,1.0277645623463534,-1.9596821057009766,0.1409032061281291
"Adair County, OK",20.8,28.5,43371,10.677546293976553,2.7001972404962165,14.8826669,0.5,0.7370916819203696,-0.1043723002610677,0.9008898334582294
"Adams County, CO",10.0,12.9,80831,11.300115834295553,5.103368266054602,164.5753082,0.43899895724713245,0.7877377854801028,-0.6865114581245588,0.503328893810327
"Adams County, IL",11.8,15.6,59777,10.99837625057064,3.400939316366171,29.99225904,0.4563106796116505,0.6426814310190877,-1.2012112675179685,0.30082960600893466
"Adams County, MS",25.8,36.6,40007,10.59680971778536,3.27127228120879,26.34483607,0.7692307692307693,1.156142876136633,0.7188897808142021,2.0521536051425233
"Adams County, OH",18.9,27.5,47001,10.757924157061597,2.914266397448173,18.43528327,0.6984126984126984,1.4276443867618431,-0.6555751076521884,0.5191434133679429
"Adams County, PA",8.6,11.6,72849,11.196144084693172,4.3298573866193335,75.93345667,0.6058823529411764,0.9172220460997581,-1.7254024066570144,0.1781013681747103
"Aiken County, SC",15.5,22.7,56711,10.945723474426929,4.097669711613614,60.19984103,0.6825842696629213,1.3299357033553787,-0.10198537171670317,0.9030427615376027
"Alachua County, FL",19.1,16.2,56006,10.933214106835043,4.754557054577684,116.1122104,0.5218579234972678,0.6681662509576467,-0.8352101201731333,0.4337833252290481
